         93968 function calls (91362 primitive calls) in 33.048 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 argparse.py:1821(_parse_known_args)
      286    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       81    0.000    0.000    0.007    0.000 re.py:250(compile)
       11    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       79    0.000    0.000    0.000    0.000 overrides.py:126(decorator)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       20    0.000    0.000    0.000    0.000 abc.py:84(__new__)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
      256    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
       51    0.000    0.000    0.000    0.000 types.py:171(__get__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
        1    0.000    0.000    0.007    0.007 _internal.py:1(<module>)
       29    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       23    0.000    0.000    0.002    0.000 overrides.py:227(decorator)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       29    0.000    0.000    0.000    0.000 argparse.py:1601(_add_action)
        1    0.000    0.000    0.000    0.000 opcode.py:2(<module>)
       20    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       87    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       30    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
       58    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        2    0.000    0.000    0.000    0.000 rgb-depth-encoding.py:203(create_encoder)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
        6    0.000    0.000    0.000    0.000 gettext.py:212(_expand_lang)
       29    0.000    0.000    0.001    0.000 argparse.py:2492(_get_formatter)
       29    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        7    0.000    0.000    0.000    0.000 getlimits.py:514(__init__)
       12    0.000    0.000    0.000    0.000 argparse.py:1330(set_defaults)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       29    0.000    0.000    0.000    0.000 argparse.py:821(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
        1    0.000    0.000    0.001    0.001 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:443(_construct_lookups)
        1    0.000    0.000    0.012    0.012 overrides.py:1(<module>)
       79    0.000    0.000    0.000    0.000 overrides.py:115(set_module)
        3    0.000    0.000    0.000    0.000 argparse.py:1267(__init__)
       99    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.000    0.000 pathlib.py:625(PurePath)
